question_number,question_text,question_responses
Q1,Using a scale of 1 to 5 where 5 means Excellent and 1 means Poor please rate the City of San Diego California with regard to each of the following:,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q1_1,As a place to live,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q1_2,As a place to raise a family,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q1_3,As a place to retire,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q1_4,As a place to start a business,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q1_5,As a place to start a career,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q1_6,As a place to work,"5 - Excellent, 4 - Good, 3 - Fair, 2 - Poor, 1 - Very Poor, 9 - Don't Know"
Q2,Please rate your satisfaction with the following items that may influence your perceptions of the City of San Diego California:,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q2_1,Feeling of safety in the City,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q2_2,Feeling of safety in your neighborhood,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q2_3,Financial stability of the City government,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q2_4,Image of the City,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q2_5,Quality of life in the City,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q2_6,Quality of services provided by the City,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q2_7,Value that you receive for your City tax dollars and fees,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3,Please rate your satisfaction with the overall quality of the following MAJOR CATEGORIES of services provided by the City of San Diego:,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_1,Code enforcement,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_2,Communication with the public,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_3,Customer service from City employees,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_4,Emergency medical services,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_5,Fire rescue safety services,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_6,Library programs and facilities,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_7,Lifeguard services,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_8,"Maintenance of City streets, sidewalks, and infrastructure","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_9,Parks and recreation programs and facilities,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_10,Planning and development services,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_11,Police services,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_12,"Solid waste services (e.g., residential trash and recycling services)","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_13,Storm water runoff/storm water management and flood prevention services,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_14,"Sustainability efforts by the City to help preserve and protect the environment (e.g., recycling, saving energy, protecting water/air quality, promoting walking/biking/public transit)","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q3_15,"Water and wastewater services (e.g., reliability of individual service at your home)","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q4,Which FOUR of the services listed in Question 3 on the previous page do you think are most important for the City to provide? [Write in the numbers below using the numbers from the list in Question 3.],"1 - Code enforcement, 2 - Communication with the public, 3 - Customer service from City employees, 4 - Emergency medical services, 5 - Fire rescue safety services, 6 - Library programs and facilities, 7 - Lifeguard services, 8 - Maintenance of City streets, sidewalks, and infrastructure, 9 - Parks and recreation programs and facilities, 10 - Planning and development services, 11 - Police services, 12 - Solid waste services (e.g., residential trash and recycling services), 13 - Storm water runoff/storm water management and flood prevention services, 14 - Sustainability efforts by the City to help preserve and protect the environment (e.g., recycling, saving energy, protecting water/air quality, promoting walking/biking/public transit), 15 - Water and wastewater services (e.g., reliability of individual service at your home)"
Q4_1,First,"1 - Code enforcement, 2 - Communication with the public, 3 - Customer service from City employees, 4 - Emergency medical services, 5 - Fire rescue safety services, 6 - Library programs and facilities, 7 - Lifeguard services, 8 - Maintenance of City streets, sidewalks, and infrastructure, 9 - Parks and recreation programs and facilities, 10 - Planning and development services, 11 - Police services, 12 - Solid waste services (e.g., residential trash and recycling services), 13 - Storm water runoff/storm water management and flood prevention services, 14 - Sustainability efforts by the City to help preserve and protect the environment (e.g., recycling, saving energy, protecting water/air quality, promoting walking/biking/public transit), 15 - Water and wastewater services (e.g., reliability of individual service at your home)"
Q4_2,Second,"1 - Code enforcement, 2 - Communication with the public, 3 - Customer service from City employees, 4 - Emergency medical services, 5 - Fire rescue safety services, 6 - Library programs and facilities, 7 - Lifeguard services, 8 - Maintenance of City streets, sidewalks, and infrastructure, 9 - Parks and recreation programs and facilities, 10 - Planning and development services, 11 - Police services, 12 - Solid waste services (e.g., residential trash and recycling services), 13 - Storm water runoff/storm water management and flood prevention services, 14 - Sustainability efforts by the City to help preserve and protect the environment (e.g., recycling, saving energy, protecting water/air quality, promoting walking/biking/public transit), 15 - Water and wastewater services (e.g., reliability of individual service at your home)"
Q4_3,Third,"1 - Code enforcement, 2 - Communication with the public, 3 - Customer service from City employees, 4 - Emergency medical services, 5 - Fire rescue safety services, 6 - Library programs and facilities, 7 - Lifeguard services, 8 - Maintenance of City streets, sidewalks, and infrastructure, 9 - Parks and recreation programs and facilities, 10 - Planning and development services, 11 - Police services, 12 - Solid waste services (e.g., residential trash and recycling services), 13 - Storm water runoff/storm water management and flood prevention services, 14 - Sustainability efforts by the City to help preserve and protect the environment (e.g., recycling, saving energy, protecting water/air quality, promoting walking/biking/public transit), 15 - Water and wastewater services (e.g., reliability of individual service at your home)"
Q4_4,Fourth,"1 - Code enforcement, 2 - Communication with the public, 3 - Customer service from City employees, 4 - Emergency medical services, 5 - Fire rescue safety services, 6 - Library programs and facilities, 7 - Lifeguard services, 8 - Maintenance of City streets, sidewalks, and infrastructure, 9 - Parks and recreation programs and facilities, 10 - Planning and development services, 11 - Police services, 12 - Solid waste services (e.g., residential trash and recycling services), 13 - Storm water runoff/storm water management and flood prevention services, 14 - Sustainability efforts by the City to help preserve and protect the environment (e.g., recycling, saving energy, protecting water/air quality, promoting walking/biking/public transit), 15 - Water and wastewater services (e.g., reliability of individual service at your home)"
Q5,"Compared to several years ago, how do you think the overall quality of services provided by the City of San Diego has changed?","1 - Much worse, 2 - A little worse, 3 - About the same, 4 - A little better, 5 - Much better, 9 - Don't know"
Q6,Please rate your satisfaction with the following services provided by the City of San Diego:,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q6_1,Effectiveness of local police protection,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q6_2,How quickly police respond,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q6_3,The City's overall crime prevention efforts,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q6_4,The visibility of police in the City,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q6_5,The visibility of police in your neighborhood,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q7,Please rate your satisfaction with the following services provided by the City of San Diego:,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q7_1,Effectiveness of ambulance/emergency medical services,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q7_2,Effectiveness of lifeguard protection at City beaches,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q7_3,Effectiveness of local fire protection,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q7_4,How quickly firefighters respond,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q7_5,How quickly emergency medical personnel respond,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q7_6,The City's overall efforts to provide water and beach safety information,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q7_7,The City's overall fire prevention efforts,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8,Please rate your satisfaction with the following services provided by the City of San Diego:,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8_1,"Accessibility of streets, sidewalks, and buildings for people with disabilities","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8_2,Availability of street lights in YOUR neighborhood,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8_3,Condition and maintenance of City streets,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8_4,Condition and maintenance of streets in YOUR neighborhood,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8_5,"Condition of bike lanes, paths, racks, and signs","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8_6,"Condition of City buildings (e.g., libraries and recreation facilities)","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8_7,Condition of sidewalks in the City,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8_8,Condition of sidewalks in YOUR neighborhood,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8_9,"Efforts to keep streets clean (i.e., street sweeping) in YOUR neighborhood","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q8_10,Quality of street repairs,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q9,Please rate your satisfaction with the following services provided by the City of San Diego:,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q9_1,Residential trash collection,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q9_2,Residential recycling services,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q10,How important is it for the City of San Diego to do the following actions to support sustainability in the community:,"5 - Very Important, 4 - Important, 3 - Somewhat Important, 2 - Not Important, 1 - Not at All Important, 9 - Don't Know"
Q10_1,"Increase walking, biking, and transit use","5 - Very Important, 4 - Important, 3 - Somewhat Important, 2 - Not Important, 1 - Not at All Important, 9 - Don't Know"
Q10_2,Provide opportunities to reduce energy use and increase the use of renewable energy,"5 - Very Important, 4 - Important, 3 - Somewhat Important, 2 - Not Important, 1 - Not at All Important, 9 - Don't Know"
Q10_3,"Prepare for more frequent storms, increased flooding, extreme heat events, increased wildfires, and severe drought","5 - Very Important, 4 - Important, 3 - Somewhat Important, 2 - Not Important, 1 - Not at All Important, 9 - Don't Know"
Q11,Please rate your satisfaction with the following services provided by the City of San Diego:,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q11_1,Availability of parks and recreation facilities,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q11_2,Hours of operation offered at City parks and recreation facilities,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q11_3,Maintenance of City beaches,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q11_4,Maintenance of City parks,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q11_5,Maintenance of City recreation facilities,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q11_6,Maintenance of City swimming pools,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q11_7,Open space and walking and biking trails,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q11_8,Programs offered at City swimming pools,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q11_9,"Quality of recreational programs and classes (e.g., dance classes, craft classes, youth sports, after school programs)","5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
Q12,Please rate your satisfaction with the following services provided by the City of San Diego:,"5 - Very Satisfied, 4 - Satisfied, 3 - Neutral, 2 - Dissatisfied, 1 - Very Dissatisfied, 9 - Don't Know"
